symbol,date,open,high,low,close
BTC,2017-04-01T00:00:00Z,1079.11,1103.74,1067.47,1086.12
BTC,2017-04-02T00:00:00Z,1086.12,1109.48,1074.21,1097.4
BTC,2017-04-03T00:00:00Z,1097.4,1157.87,1095.55,1147.56
BTC,2017-04-04T00:00:00Z,1147.56,1161.19,1122.15,1141.77
BTC,2017-04-05T00:00:00Z,1141.77,1143.84,1110.06,1129.87
BTC,2017-04-06T00:00:00Z,1129.87,1201.55,1130.51,1188.7
BTC,2017-04-07T00:00:00Z,1188.7,1201.23,1173.18,1190.49
BTC,2017-04-08T00:00:00Z,1190.49,1198.22,1166.65,1180.78
BTC,2017-04-09T00:00:00Z,1180.78,1215.1,1173.99,1204.34
BTC,2017-04-10T00:00:00Z,1204.34,1214.87,1194.81,1206.71
BTC,2017-04-11T00:00:00Z,1206.71,1229.57,1195.76,1220.74
BTC,2017-04-12T00:00:00Z,1220.74,1225.46,1207.36,1212.53
BTC,2017-04-13T00:00:00Z,1212.53,1218.66,1150.29,1176.2
BTC,2017-04-14T00:00:00Z,1176.2,1195.4,1162.16,1177.33
BTC,2017-04-15T00:00:00Z,1177.33,1194.85,841.53,1176.99
BTC,2017-04-16T00:00:00Z,1176.99,1187.97,1166.74,1176.8
BTC,2017-04-17T00:00:00Z,1176.8,1202.97,1172.81,1194.01
BTC,2017-04-18T00:00:00Z,1194.01,1213.88,1191.14,1206.09
BTC,2017-04-19T00:00:00Z,1206.09,1218.21,1194.08,1215.2
BTC,2017-04-20T00:00:00Z,1215.2,1246.64,1210.67,1238.09
BTC,2017-04-21T00:00:00Z,1238.09,1256.97,1235.56,1249.64
BTC,2017-04-22T00:00:00Z,1249.64,1256.97,1215.78,1240.89
BTC,2017-04-23T00:00:00Z,1240.89,1256.23,1223.06,1249.14
BTC,2017-04-24T00:00:00Z,1249.14,1256.36,1234.86,1248.18
BTC,2017-04-25T00:00:00Z,1248.18,1272.62,1244.21,1264.31
BTC,2017-04-26T00:00:00Z,1264.31,1309.2,1263,1286.63
BTC,2017-04-27T00:00:00Z,1286.63,1346.79,1285.3,1332.91
BTC,2017-04-28T00:00:00Z,1332.91,1356.15,1287.62,1329.62
BTC,2017-04-29T00:00:00Z,1329.62,1343.69,1314.15,1336.28
BTC,2017-04-30T00:00:00Z,1336.28,1358.94,1309.66,1351.91
BTC,2017-05-01T00:00:00Z,1351.91,1448.68,1342.78,1415.81
BTC,2017-05-02T00:00:00Z,1415.81,1471.14,1394.83,1445.93
BTC,2017-05-03T00:00:00Z,1445.93,1496.39,1424.05,1485.55
BTC,2017-05-04T00:00:00Z,1485.55,1609.84,1437.11,1516.76
BTC,2017-05-05T00:00:00Z,1516.76,1588.11,1485.01,1507.77
BTC,2017-05-06T00:00:00Z,1507.77,1560.42,1503.93,1545.29
BTC,2017-05-07T00:00:00Z,1545.29,1572.89,1495.18,1554.45
BTC,2017-05-08T00:00:00Z,1554.45,1667.67,1552.86,1664.47
BTC,2017-05-09T00:00:00Z,1664.47,1757.39,1619.97,1697.5
BTC,2017-05-10T00:00:00Z,1697.5,1766.18,1664.99,1752.31
BTC,2017-05-11T00:00:00Z,1752.31,1864.76,1741.54,1819.29
BTC,2017-05-12T00:00:00Z,1819.29,1822.51,1641.18,1686.39
BTC,2017-05-13T00:00:00Z,1686.39,1770.5,1594.59,1763.74
BTC,2017-05-14T00:00:00Z,1763.74,1802.75,1736.13,1772.55
BTC,2017-05-15T00:00:00Z,1772.55,1776.65,1656.81,1708.92
BTC,2017-05-16T00:00:00Z,1708.92,1752.55,1653.72,1729.34
BTC,2017-05-17T00:00:00Z,1729.34,1842.83,1703.97,1801.3
BTC,2017-05-18T00:00:00Z,1801.3,1980.49,1791.12,1880.99
BTC,2017-05-19T00:00:00Z,1880.99,1969.7,1875.28,1962
BTC,2017-05-20T00:00:00Z,1962,2048.45,1944.4,2040.18
BTC,2017-05-21T00:00:00Z,2040.18,2094.94,1980.07,2044.19
BTC,2017-05-22T00:00:00Z,2044.19,2264.76,1998.61,2124.41
BTC,2017-05-23T00:00:00Z,2124.41,2286.3,2110.78,2272.58
BTC,2017-05-24T00:00:00Z,2272.58,2496.98,2263.29,2445.28
BTC,2017-05-25T00:00:00Z,2445.28,2781.76,2210.48,2307.22
BTC,2017-05-26T00:00:00Z,2306.96,2616.52,2051.45,2244.89
BTC,2017-05-27T00:00:00Z,2244.89,2322.37,1868.56,2052.43
BTC,2017-05-28T00:00:00Z,2052.43,2300.52,2051.07,2189.02
BTC,2017-05-29T00:00:00Z,2189.02,2337.35,2117.34,2278.21
BTC,2017-05-30T00:00:00Z,2278.21,2329.26,2147.1,2192.55
BTC,2017-05-31T00:00:00Z,2192.55,2330.62,2168.37,2303.34
BTC,2017-06-01T00:00:00Z,2303.34,2460.84,2303.34,2412.65
BTC,2017-06-02T00:00:00Z,2412.65,2493.97,2385.59,2492.6
BTC,2017-06-03T00:00:00Z,2492.6,2582.77,2449.95,2545.43
BTC,2017-06-04T00:00:00Z,2545.43,2559.79,2478.18,2524.06
BTC,2017-06-05T00:00:00Z,2524.06,2705.38,2523.92,2704.96
BTC,2017-06-06T00:00:00Z,2704.96,2931.24,2699.68,2870.5
BTC,2017-06-07T00:00:00Z,2870.5,2880.95,2626.56,2691.51
BTC,2017-06-08T00:00:00Z,2691.51,2808.41,2623.61,2798.78
BTC,2017-06-09T00:00:00Z,2798.78,2852.07,2786.07,2811.43
BTC,2017-06-10T00:00:00Z,2811.43,2914.19,2807.36,2900.25
BTC,2017-06-11T00:00:00Z,2900.25,2977.86,2867.25,2973.45
BTC,2017-06-12T00:00:00Z,2973.45,2985.06,2483.63,2656.77
BTC,2017-06-13T00:00:00Z,2656.77,2784.77,2647.44,2712.99
